timestamp,x,y,z
,-0.6580497,8.200496,19.555626
3004288,-1.1342385,7.965991,18.2275618
,-1.8688612,7.111723,17.6939433
,-2.8451676,4.5393467,16.91864113
,-3.383572,3.1466742,16.7367801
,-4.716422,1.4620669,21.8217096
,-2.0435436,9.093051,28.385457
,-5.266791,17.506516,45.296139
,-8.468502,43.024487,59.998165
3004327,-16.841288,78.348595,95.40124
,-78.279205,78.348595,42.257145
,-78.40124,67.61162,44.42512
,0.5695121,-26.362669,-40.453724
,31.880714,-20.610117,1.692567
,27.197794,-15.910446,25.368
,38.37746,9.4495945,25.487645
,55.32882,14.812101,4.956493
3004365,66.00119,20.681904,3.346066
,56.17591,18.224388,-11.616787
,34.713917,-5.857839,-14.708426
,22.333012,-14.627847,13.2048478
,11.66782,-5.5563326,23.633141
,6.5661397,6.0995226,11.558527
,5.1638956,11.658248,11.4125595
,-0.043072347,13.254318,9.634629
3004403,-7.1165085,12.799665,7.0574665
,-11.031306,13.510359,6.806211
,-7.159581,16.058805,5.351323
,-6.9729342,16.063593,0.967516
,-5.3577213,13.070064,1.553779
,-5.135181,9.444808,6.093125
,-4.407737,9.779816,9.8810983
,-3.3524642,12.857095,11.7499595
3004442,-2.3019776,15.336148,13.070845
,-2.4383733,15.628083,15.3512863
,-2.81406,14.965247,15.4158949
,-5.2691836,16.025305,15.8968694
,-6.58289,16.810179,18.5601761
,-5.790838,16.807787,20.1347096
,-1.9454343,15.465365,26.284483
,-0.10050214,11.933433,35.839365
3004480,1.6152129,9.968855,38.780249
,-0.35893622,9.731957,33.783857
,-5.57069,3.5869691,31.989177
,-14.338305,5.7381935,33.781464
,-17.360548,-8.868117,35.296175
,-14.5895605,-9.4137,26.95689
,-11.316062,-9.959284,20.6396132
,-8.021028,-12.278011,20.2328188
3004518,-3.988978,-9.712814,17.27518442
,0.31107804,-8.600112,16.0165148
,1.8951832,-7.853524,15.0521728
,0.93084127,-6.8891826,17.24646953
,1.0265576,-6.4536734,15.5642551
,1.2825987,-6.24549,16.60517016
,2.2301903,-2.5819478,19.2038684
,3.1658175,1.3878866,18.9956853
3004557,3.8908687,3.3740003,17.7944455
,4.692493,4.5154176,17.86862564
,4.936569,4.16366,17.7705164
,5.2883267,4.8647823,20.1107805
,6.6163907,5.9511623,20.2734983
,6.956184,11.440494,25.502003
,8.949476,21.440456,28.880789
,7.70995,43.658607,37.650797
3004595,5.436687,75.5489,73.343414
,27.209759,56.400845,68.744244
,78.32227,29.382519,39.682375
,50.3755,-2.9863493,-29.79571
,4.393379,-6.692964,-9.367455
,-19.621847,10.327791,11.3048787
,-20.229645,16.71207,17.15075321
,-30.083641,15.206931,9.919385
3004633,-51.12209,14.771421,7.52887
,-52.71337,16.922646,-2.399305
,-40.421005,12.806844,-8.439007
,-24.417234,2.2780485,-2.052334
,-16.623533,2.471874,5.731796
,-12.866667,11.002591,5.042638
,-11.261025,17.618982,3.839005
,-8.190925,19.590738,1.438919
3004672,-5.9487696,20.136322,0.800013
,-2.1440456,21.34474,7.4092245
,0.6819788,20.940338,8.287421
,4.189982,18.96619,8.933507
,9.181588,14.213874,8.9359
,10.973877,15.65919,10.13714
,8.303391,25.998947,24.420408
,5.1758604,24.012833,36.660133
3004710,2.9552414,12.5077305,39.22533
,2.81406,20.322968,32.893696
,3.3452854,-12.479015,37.638832
,6.1856675,-15.800372,37.55508
,8.600112,-6.2622404,30.60129
,11.012163,-5.7860518,24.585519
,13.854938,-9.530953,27.086107
,15.491687,-7.887025,28.270597
3004749,12.263654,-3.383572,28.933433
,8.116744,-2.4024796,29.94324
,4.886318,-3.0796728,28.383064
,0.86862564,-0.8805902,24.968384
,0.54079723,-7.1236873,25.449359
,0.80641,-11.418958,23.645106
,1.14381,-12.828381,20.4505734
,1.2108115,-10.337363,18.6558924
3004788,-0.40200856,-6.568533,17.5049036
,-2.1033661,-4.773852,17.00239291
,-3.697043,-2.6202343,15.8250822
,-5.254826,1.5314612,14.6405926
,-5.5084743,5.534796,14.2577274
,-5.128002,9.346699,15.7939743
,-5.5874405,11.619962,16.1457318
,-5.0657864,11.818573,16.57406235
3004826,-4.2617693,10.452223,17.16750357
,-4.2976627,8.791544,16.96889219
,-3.1945324,7.8272023,16.28212756
,-3.5989337,7.6190195,18.0911661
,-3.2304258,7.374943,18.7731448
,-2.7877378,10.320613,20.3979294
,-3.955477,17.853487,28.615176
,-7.942062,24.44595,34.305511
3004864,-12.414407,40.36836,48.524172
,-22.110472,62.959805,69.62244
,-37.463367,57.00625,34.138008
,-62.29697,14.158837,5.46379
,-1.9334698,6.3794928,-19.317165
,24.343054,19.973604,3.334102
,20.490473,24.522522,21.493881
,26.56128,22.581873,20.7975452
3004903,46.479847,21.670176,6.4137745
,48.2506,14.084657,7.315901
,39.23412,8.095208,4.576021
,28.090347,4.393379,4.147691
,15.187788,4.8264956,9.345087
,7.142831,7.8630958,9.184762
,4.323985,10.734586,11.8313184
,3.0653152,13.60129,10.7904034
3004941,1.1629534,16.633104,8.3951025
,-0.6867646,18.566574,5.308251
,-2.6896286,19.181551,3.690645
,-4.5895977,19.301197,3.879685
,-6.2359185,18.647932,5.107246
,-6.5254602,16.353134,5.219713
,-6.144988,14.182766,4.647808
,-6.197632,13.371571,4.681309
3004979,-5.0849295,12.77095,5.454219
,-4.3024487,13.225603,8.892827
